Date,toeuro
2017-01-02,0.8517
2017-01-03,0.8503
2017-01-04,0.8512
2017-01-05,0.8541
2017-01-06,0.8574
2017-01-09,0.8694
2017-01-10,0.8667
2017-01-11,0.8666
2017-01-12,0.8726
2017-01-13,0.8717
2017-01-16,0.8799
2017-01-17,0.8629
2017-01-18,0.8670
2017-01-19,0.8640
2017-01-20,0.8652
2017-01-23,0.8588
2017-01-24,0.8572
2017-01-25,0.8507
2017-01-26,0.8480
2017-01-27,0.8526
2017-01-30,0.8566
2017-01-31,0.8584
2017-02-01,0.8509
2017-02-02,0.8588
2017-02-03,0.8640
2017-02-06,0.8623
2017-02-07,0.8538
2017-02-08,0.8531
2017-02-09,0.8526
2017-02-10,0.8513
2017-02-12,0.8509
2017-02-13,0.8461
2017-02-14,0.8483
2017-02-15,0.8507
2017-02-16,0.8546
2017-02-17,0.8561
2017-02-20,0.8517
2017-02-21,0.8448
2017-02-22,0.8481
2017-02-23,0.8428
2017-02-24,0.8477
2017-02-27,0.8509
2017-02-28,0.8543
2017-03-01,0.8579
2017-03-02,0.8565
2017-03-03,0.8632
2017-03-06,0.8648
2017-03-07,0.8661
2017-03-08,0.8663
2017-03-09,0.8695
2017-03-10,0.8776
2017-03-13,0.8719
2017-03-14,0.8726
2017-03-15,0.8733
2017-03-16,0.8710
2017-03-17,0.8663
2017-03-20,0.8690
2017-03-21,0.8663
2017-03-22,0.8649
2017-03-23,0.8612
2017-03-24,0.8657
2017-03-27,0.8650
2017-03-28,0.8685
2017-03-29,0.8658
2017-03-30,0.8562
2017-03-31,0.8485
2017-04-03,0.8545
2017-04-04,0.8580
2017-04-05,0.8542
2017-04-06,0.8537
2017-04-07,0.8555
2017-04-10,0.8535
2017-04-11,0.8490
2017-04-12,0.8506
2017-04-13,0.8489
2017-04-14,0.8478
2017-04-17,0.8470
2017-04-18,0.8356
2017-04-19,0.8383
2017-04-20,0.8364
2017-04-21,0.8378
2017-04-24,0.8493
2017-04-25,0.8509
2017-04-26,0.8487
2017-04-27,0.8426
2017-04-28,0.8413
2017-05-01,0.8458
2017-05-02,0.8448
2017-05-03,0.8460
2017-05-04,0.8500
2017-05-05,0.8473
2017-05-08,0.8442
2017-05-09,0.8407
2017-05-10,0.8400
2017-05-11,0.8428
2017-05-12,0.8476
2017-05-15,0.8510
2017-05-16,0.8579
